,target,lien,source
105,rapport,type_delai,typedelai
106,rapport,type_rapport_id,type_rapport
107,recouvrement,emetteur_id,typeemetteurarretehy
108,recouvrement,type_id,typearretehygiene
109,recouvrement,affaire_id,affhygiene
110,relationtiers,typerelationtiers_id,typerelationtiers
111,relationtiers,tiersparent_id,tierscomplexe
112,relationtiers,tiersparent_id,tiers
113,relationtiers_tiers,tiers_id,tiers
114,relationtiers_tiers,relationtiers_id,relationtiers
115,responsable_affaire_historique,responsable_id,utilisateur
116,responsable_affaire_historique,utilisateur_modificateur,utilisateur
117,responsable_affaire_historique,affaire_id,affaire
118,signalement_affaire,affaire_id,affaire
119,signalement_affaire,signalement_id,signalement
120,signataire,type_id,type_utilisateur
121,subdivision,responsable_subdivision_id,utilisateur
122,signalement,etat_id,etatsignalement
123,signalement,signalant_id,tiersreference
124,signalement,plaignant_civilite_id,civilite
125,signalement,adresse_id,adrbad
126,signalement,signalant_civilite_id,civilite
127,tiers,civilite_id,civilite
128,tiers,adressesociete_id,adrsimple
129,tiers,affaire_id,affaire
130,tiers,adresse_id,adrsimple
131,tiers,adressepostale_id,adrsimple
132,tierscomplexe,type_tiers_id,typetiers
133,tierscomplexe,tiers_id,tiers
134,tierssimple,type_tiers_id,typetiers
135,tierssimple,tiers_id,tiers
136,tiers_envoi_acte,type_envoi_id,type_envoi
137,tiers_envoi_acte,tiers_id,tiers
138,tiers_ref_envoi_acte,type_envoi_id,type_envoi
139,tiers_ref_envoi_acte,tiers_id,tiersreference
140,tournee,etatourn_id,etatourn
141,tournee,ctrlrava_id,utilisateur
142,typerelationtiers,typetiers_id,typetiers
143,typetiers_typerelationtiers,typerelationtiers_id,typerelationtiers
144,typetiers_typerelationtiers,typetiers_id,typetiers
145,tierssansaffaire,civilite_id,civilite
146,tierssansaffaire,adressesociete_id,adrsimple
147,tierssansaffaire,adresseautre_id,adrsimple
148,tierssansaffaire,adressepostale_id,adrsimple
149,utilisateur,type_id,type_utilisateur
150,utilisateur_role,utilisateur_id,utilisateur
151,utilisateur_role,role_id,role
152,voieprivee,voie_id,voie
153,voieprivee,statut,statutvoieprivee
154,voieprivee_parcelle,parcelle_id,parcelle_cadastrale
155,voieprivee_parcelle,voieprivee_id,voieprivee
156,avis_passage,affaire_id,affaire
157,extensiondocument,typedocument_id,typedocument
158,marche_travaux,eot_id,eot
159,marche_travaux,entreprise_id,tiers
160,tiersreference,civilite_id,civilite
161,tiersreference,arrondissement_id,arrondissement
162,tiersreference,adressesociete_id,adresse
163,tiersreference,adressepersphys_id,adresse
164,tiersreference,typetiers_id,typetiersreference
165,tiersreference,adressetiers_id,adresse
